normalized_question_category,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
CausaleEsplicita,338,49,78,335
CausaleImplicita,358,46,59,337
Controfattuale,458,363,196,583
ImplicitoParziale,640,165,279,516
ImplicitoTot,716,105,202,577
Incertezza,679,61,92,768
OutofScope,719,50,72,759
Pianificazione,652,170,271,507
Sentiment,729,75,174,622
SpazialeParziale,523,289,190,598
SpazialeTotale,635,153,57,755
TemporaleDurata,593,220,232,555
TemporaleParziale,496,272,155,677
