normalized_question_category,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,Accuracy,Accuracy_valid_only,Support_0,Predicted_as_0,Precision_0,Recall_0,F1_0,Support_1,Predicted_as_1,Precision_1,Recall_1,F1_1,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
CausaleEsplicita,800,800,0,0,0.84375,0.84375,387,424,0.8089622641509434,0.8863049095607235,0.8458692971639951,413,376,0.8829787234042553,0.8038740920096852,0.8415716096324461,343,44,81,332
CausaleImplicita,800,800,0,0,0.86625,0.86625,404,431,0.8445475638051044,0.900990099009901,0.8718562874251498,396,369,0.8915989159891599,0.8308080808080808,0.8601307189542483,364,40,67,329
Controfattuale,1600,1600,0,0,0.58125,0.58125,821,777,0.5971685971685972,0.5651644336175395,0.5807259073842304,779,823,0.5662211421628189,0.5982028241335045,0.581772784019975,464,357,313,466
ImplicitoParziale,1600,1600,0,0,0.78375,0.78375,805,903,0.7541528239202658,0.8459627329192546,0.797423887587822,795,697,0.8220946915351507,0.720754716981132,0.7680965147453083,681,124,222,573
ImplicitoTot,1600,1600,0,0,0.834375,0.834375,821,898,0.8095768374164811,0.8855054811205847,0.8458406050029087,779,702,0.8660968660968661,0.7804878048780488,0.8210668467251857,727,94,171,608
Incertezza,1600,1600,0,0,0.91625,0.91625,740,806,0.8759305210918115,0.9540540540540541,0.9133247089262613,860,794,0.9571788413098237,0.8837209302325582,0.9189842805320435,706,34,100,760
OutofScope,1600,1600,0,0,0.934375,0.934375,769,794,0.9181360201511335,0.9479843953185956,0.9328214971209213,831,806,0.9503722084367245,0.9217809867629362,0.9358582773365912,729,40,65,766
Pianificazione,1600,1600,0,0,0.728125,0.728125,822,997,0.6940822467402207,0.8418491484184915,0.7608576140736668,778,603,0.7844112769485904,0.6079691516709511,0.6850108616944243,692,130,305,473
Sentiment,1600,1600,0,0,0.83375,0.83375,804,946,0.7843551797040169,0.9228855721393034,0.848,796,654,0.9051987767584098,0.7437185929648241,0.8165517241379311,742,62,204,592
SpazialeParziale,1600,1600,0,0,0.700625,0.700625,812,727,0.7290233837689133,0.6527093596059114,0.6887589343729694,788,873,0.6769759450171822,0.75,0.7116195063214931,530,282,197,591
SpazialeTotale,1600,1600,0,0,0.885625,0.885625,788,781,0.8873239436619719,0.8794416243654822,0.8833652007648184,812,819,0.884004884004884,0.8916256157635468,0.8877988963825875,693,95,88,724
TemporaleDurata,1600,1600,0,0,0.685625,0.685625,813,968,0.6601239669421488,0.7859778597785978,0.7175743964065133,787,632,0.7246835443037974,0.5819567979669632,0.6455250176180409,639,174,329,458
TemporaleParziale,1600,1600,0,0,0.734375,0.734375,768,917,0.6870229007633588,0.8203125,0.7477744807121662,832,683,0.7979502196193266,0.6550480769230769,0.7194719471947193,630,138,287,545
