normalized_question_category,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
CausaleEsplicita,387,0,412,1
CausaleImplicita,404,0,396,0
Controfattuale,798,23,757,22
ImplicitoParziale,801,4,792,3
ImplicitoTot,813,8,773,6
Incertezza,739,1,860,0
OutofScope,767,2,826,5
Pianificazione,822,0,778,0
Sentiment,803,1,796,0
SpazialeParziale,812,0,788,0
SpazialeTotale,788,0,812,0
TemporaleDurata,813,0,787,0
TemporaleParziale,768,0,832,0
