normalized_question_category,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
CausaleEsplicita,367,20,402,11
CausaleImplicita,389,15,379,17
Controfattuale,435,386,436,343
ImplicitoParziale,789,16,775,20
ImplicitoTot,776,45,740,39
Incertezza,736,4,853,7
OutofScope,762,7,821,10
Pianificazione,732,90,691,87
Sentiment,797,7,785,11
SpazialeParziale,756,56,735,53
SpazialeTotale,767,21,789,23
TemporaleDurata,800,13,770,17
TemporaleParziale,719,49,798,34
