normalized_question_category,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
CausaleEsplicita,13,53,13,47
CausaleImplicita,20,51,17,55
Controfattuale,30,106,44,108
ImplicitoParziale,59,56,62,67
ImplicitoTot,68,76,59,65
Incertezza,82,44,92,42
OutofScope,82,55,69,65
Pianificazione,60,71,67,64
Sentiment,83,32,86,34
SpazialeParziale,39,97,36,74
SpazialeTotale,50,90,41,74
TemporaleDurata,37,82,48,93
TemporaleParziale,30,120,23,131
