confidence_bucket,n_samples,avg_confidence,avg_logprob_margin,logprob_accuracy
"[0.50,0.55)",4016,0.5205472305832631,0.08229581673306773,0.5004980079681275
"[0.55,0.65)",6467,0.5893049845283324,0.3619913479008814,0.4853873511674656
"[0.65,0.75)",4766,0.6851974035504982,0.7813036843002518,0.49979018044481743
"[0.75,0.85)",2354,0.7893201619665199,1.3295998002070943,0.49022939677145283
"[0.85,0.95)",1397,0.892518067965784,2.1597443391530957,0.4889047959914102
"[0.95,1.00]",200,0.9640275582671165,3.3422305297851564,0.525
